,х1,х2,х3,х4,х5,х6,х7,х8,х9,х10,х11,х12,х13,х14,х15,х16,х17,Y
1,1,"80,72279358","0,2","-0,75","-1,5",75,"0,5","42,5",41,3,"-0,75","-1,5",81,"23,97","2,67","4,99","118,5","21,5"
2,2,"61,80150604","0,16","2,75",0,0,"0,9",43,43,90,3,0,0,"22,53","3,09","4,15","118,8","25,5"
3,2,"81,35523987","0,05","-2,5","-0,5",10,"0,3",45,"44,75",128,"-2,5","-0,5",8,"23,71","2,76","4,63","118,8","18,5"
4,1,"81,68651581","0,2",3,-1,105,"0,5",44,"43,5",13,"3,25","-1,25",107,"23,37","3,08","4,94","118,5",21
5,2,"81,27036285","0,2",0,0,0,0,"43,75","43,5",91,"1,5",0,0,"23,84","3,07",0,"118,6","19,5"
6,2,"76,29295349","0,5",0,"-0,75",170,"0,6","43,75",43,81,2,-1,114,"23,49","2,33","4,86","118,5","20,5"
7,1,"72,10677338","0,1",-4,-1,71,"0,5","46,25","45,25",159,"-2,75",-3,71,"23,42","2,81","4,88","118,8",19
8,1,"61,02669525","0,03","-7,25",-1,165,"0,4","45,25",44,86,-7,"-1,5",166,"25,35","3,52","4,5","119,2",14
9,2,"80,51745605","0,1","2,5","-0,75",115,"0,6","42,25","41,25",180,3,"-0,75",114,"23,93","2,8","4,58","118,5",22
10,1,"69,88090515","0,1","-3,5","-0,75",100,"0,6","43,75","43,25",177,"-3,25","-0,75",102,"23,54","2,88","4,85","118,5",21
11,2,"57,368927","0,03",-5,0,0,"0,3",44,"43,5",32,"-4,5","-1,5",74,"24,46","3,33","4,17",119,18
12,1,"62,60369492","0,05",-4,-2,105,"0,4","44,75","42,75",11,-4,"-2,5",103,"23,75","2,7","4,67","119,2",20
13,1,"60,10951233","0,05",-5,0,0,"0,6","42,25","41,75",104,"-3,75","-0,75",93,"22,97","2,86","4,42","118,8","24,5"
14,2,"63,29911041","0,1","-3,5","-0,75",175,"0,7",44,"43,5",81,"-3,5","-0,75",176,"25,27","3,26","4,03","118,5","15,5"
15,2,"72,83778381","0,2",2,"-1,5",80,"0,3","45,75","45,5",34,"2,75","-1,5",81,"22,62","2,75","4,5","118,5","21,5"
16,2,"69,42642212","0,05","-2,5","-1,5",141,"0,4","46,25","45,5",79,"-2,5","-1,5",141,"22,99","3,04","4,18","118,5","19,5"
17,2,"56,47090912","0,03","-9,75",-2,160,"0,8","47,25","45,5",77,"-9,75",-2,159,"28,78","3,71","3,83","118,8",7
18,1,"68,31758881","0,2",0,1,15,"0,3",44,"43,75",93,"1,25",-1,105,"23,01","2,6","4,8","118,5","22,5"
19,2,"76,74195862","0,1",-6,-1,5,"0,3","45,75","45,25",144,-6,"-1,25",7,"23,56","3,06","4,32","118,5",19
20,2,"78,28063202","0,3",4,-2,10,"0,6","43,5","42,5",110,"4,25","-2,5",12,"22,64","2,3","5,03","118,8",24
21,1,"56,65434647","0,5",4,-1,160,"0,9","43,25",42,81,"4,5","-1,25",161,"22,91","3,85","3,66","119,2","25,5"
22,1,"51,4852829","0,03",-6,"-1,5",140,"0,7","46,5",45,62,"-6,25","-1,75",141,"25,2","3,69","4,17","118,8",14
23,2,"68,04927826","0,05","-4,5",0,0,"0,3","43,5","42,5",95,"-4,75","-0,25",176,"23,98","3,52","4,39","118,5",21
24,1,"48,99931717","0,05",-5,"-4,5",10,"0,6","46,75","42,5",97,-5,-7,10,"26,62","3,58","4,2","119,2","10,5"
25,1,"83,86584473","0,4",2,-3,95,"0,6","43,25","41,25",180,"3,25","-3,5",93,"23,52","2,95","4,25","119,2","23,5"
26,2,"62,12731171","0,05","-2,75",0,0,"0,5",44,"43,5",35,"-2,25","-1,25",104,"25,4","3,64","4,29","118,5",14
27,2,"86,86927032","0,16",3,-1,70,"0,3","45,5","44,5",122,"4,5","-1,5",73,"21,65","2,53","4,77","118,5",26
28,2,"70,44763947","0,7",0,0,0,0,"43,25","42,25",77,0,"-0,75",77,"23,61","3,08","4,78","118,5","21,5"
29,2,"54,82820129","0,4",0,0,0,0,43,"42,25",124,"1,25","-1,25",66,"23,08","2,45","5,61","118,8",24
30,2,"54,66392899","0,03",10,"-3,5",170,"0,8","42,75","42,5",98,"2,75","-0,25",78,"22,35","2,38","5,12","118,5",25
31,2,"69,97125244","0,4",0,0,0,0,"41,75",41,111,"-1,5","-1,25",76,"24,48","3,48","3,79","118,5","20,5"
32,1,"66,39835358","0,05","-2,5","-0,5",125,"0,4",44,"43,75",33,"-2,5","-0,75",124,"23,4","3,32","4,18","118,8",21
33,1,"58,66940308","0,2",0,-2,90,"0,7","45,5","44,5",5,0,"-1,75",93,"23,14","3,35","4,7","119,2",22
34,1,"64,13689423","0,1","-1,5",-1,95,"0,9","45,25","44,5",72,"-1,5",-1,95,"23,61","3,17","4,13","118,5",19
35,1,"63,77275848","0,16",2,"-0,5",85,"0,9",43,"42,75",19,"2,5","-0,5",86,"24,42","3,35","4,12","118,8","18,5"
36,2,"65,27857971","0,7",0,0,0,0,42,"41,75",161,"2,25","-2,75",50,"23,55","2,54","5,25","118,8",22
37,1,"54,20396805","0,2",5,0,0,"0,5","42,5","42,25",45,"5,5","-0,5",119,"22,5","3,61","4,27",119,"26,5"
38,2,"59,9041748","0,01","-9,5",-1,60,"0,2","43,75","42,75",138,"-9,5",-1,57,"28,35","3,57","4,25","118,5",8
39,1,"54,40930939","0,03",6,-2,10,"0,7","42,5","40,75",100,"6,5",-2,12,"22,07","2,8","4,62","119,2","28,5"
40,2,"66,50239563","0,3",0,0,0,0,"43,25","42,5",65,"0,5","-0,25",103,"23,65","3,16","4,53","118,5",21
41,2,"68,79123688","0,05",3,0,0,"0,16","43,25","42,75",121,"3,25","-1,25",82,"22,57","2,42","5,04","118,5","23,5"
42,2,"70,10540771","0,2","2,5","-1,5",65,"0,5","45,25","44,5",151,"2,5","-1,5",67,"23,24","3,18","4,93","118,5","20,5"
43,2,"70,00410461","0,2",3,"-1,5",75,"0,45","46,25",45,169,"3,75","-2,25",76,"21,81","2,86","4,2","118,8","24,5"
44,2,"75,75085449","0,3","-0,5",-1,80,"0,4","42,75","42,25",173,"-0,5","-1,5",79,"23,61","3,24","4,66","118,8",22
45,2,"72,91444397","0,16","2,75","-0,5",70,"0,3",45,"44,75",167,"3,25","-0,5",69,"23,35","3,51","4,33","118,5","20,5"
46,1,"68,41067505","0,1",0,0,0,0,"44,25","44,25",90,0,0,0,"22,09","2,67","5,19","118,8",25
47,2,"66,06707764","0,2","1,5",0,0,"0,7","43,5","43,25",48,2,"-0,75",62,"23,11","2,86","4,68","118,8","22,5"
48,1,"70,71595001","0,16",-1,"-0,5",50,"0,3","40,25",40,79,"-0,75","-0,5",52,"26,17","2,97","4,99",119,18
49,2,"67,20054626","0,3","2,5","-1,5",85,"0,9","45,25","44,25",176,3,"-1,5",87,"22,46","2,76","4,19","118,5","23,5"
50,2,"68,76112366","0,03","-9,5",-2,70,"0,5","43,75",43,146,-10,-2,72,"26,37","3,1","4,57","118,8",16
51,2,"78,76522827","0,2","1,5",0,0,"0,4","47,25","46,5",113,"1,75","-0,25",77,"22,56","3,13","4,84","118,5","20,5"
52,2,"71,68515015","0,2",3,-1,80,"0,8","44,5","43,5",2,3,"-1,25",82,"22,32","2,91","4,91","118,8",23
53,1,"78,24504089","0,1",3,-1,85,"0,2","45,5",44,13,"3,5",-1,86,"22,99","3,59","4,79","118,6","21,5"
54,2,"81,06776428","0,2","0,5",-1,85,0,"47,25","46,25",10,"0,75","-1,5",83,"22,47","2,81","4,5","118,8",20
55,1,"74,79534912","0,03","-5,5",0,0,"0,5",45,"44,75",142,-5,0,0,"24,45","3,47","4,8","118,8","17,5"
56,2,"55,04722977","0,2","5,5","-0,5",100,"0,9","42,75","42,5",39,6,"-0,75",97,"21,35","2,54","4,85","118,8",31
57,1,"59,73442841","0,01",-18,0,0,"0,2","43,5","43,25",67,"-18,25","-1,25",179,"27,25","3,41","4,3","118,8",12
58,1,"36,24914551","0,01",-13,-2,45,"0,16","42,5","41,75",157,-13,"-2,25",44,"29,69","3,07","4,6","119,2",7
59,1,"72,98014832","0,16","-0,5","-2,5",75,"0,5","47,25","45,75",159,"-0,25","-2,5",74,"22,67","2,86","4,88","118,5",20
60,2,"74,88843536","0,2",4,-3,5,"0,3","47,5","44,5",90,"5,25","-3,25",5,"21,48","2,57","4,67","119,2","25,5"
61,1,"51,4743309","0,1","-4,5",0,40,"0,5","41,5","40,5",100,"-4,75","-0,75",41,"26,12","4,12","3,71",119,"16,5"
62,2,"74,28063202","0,05",-5,-1,105,"0,3","43,25",43,98,-5,-1,103,"23,18","2,29","5,11","118,5","22,5"
63,1,"60,18891144","0,4",0,-2,140,"0,5","44,75","43,25",69,"-0,25",-2,140,"24,98","3,66","4,16","118,5",17
64,2,"62,70773315","0,3","0,75","-1,5",130,"0,7","46,25","44,5",55,1,"-1,5",131,"22,67","2,19","5,18","118,5","21,5"
65,2,"65,85352325","0,1","-2,5",0,0,0,45,"44,5",100,-1,"-3,5",65,"23,28","3,2","4,49","118,6","19,5"
66,2,"80,81861877","0,1",2,-1,90,"0,4","42,75","41,25",8,"2,25","-1,5",89,"23,09","2,83","4,52","118,5",24
67,1,"69,32785797","0,05",-1,0,0,"0,16","43,5","43,25",37,"-0,75","-0,5",121,"23,82","2,79","5,05","118,8",20
68,2,"80,28199768","0,03",-2,-3,95,"0,2",44,"43,25",9,-2,"-3,25",96,"22,9","2,85","3,12","118,8","22,5"
69,1,"68,2381897","0,2","1,75",0,0,"0,9","42,5","42,5",180,"2,25","-0,75",76,"23,44","2,66","4,78","118,5",22
70,1,"92,08487701","0,2",2,0,0,"0,4",46,45,180,3,-1,72,"22,35","2,44","5,56","118,6","21,5"
71,1,"63,74811935","0,2",0,0,0,0,42,"40,5",75,2,"-2,25",144,"24,31","3,21","3,89","118,8",21
72,1,"68,15605927","0,1",-3,-1,90,"0,2",43,"42,25",7,"-2,75","-1,25",114,"24,1","3,42","4,41","118,8",20
73,2,"85,69746399","0,16",5,"-2,5",100,"0,5","48,25","46,5",8,"5,75","-2,75",100,"21,57","3,01","4,68","118,5",24
74,1,"61,27583694","0,05",-3,"-0,5",30,"0,5","42,75","42,5",74,-3,"-0,5",31,"23,92","2,94","4,73",119,"20,5"
75,2,"69,83983612","0,2",0,0,0,0,47,46,78,0,0,0,"22,36","3,46","4,62","118,5","21,5"
76,1,"73,69473267","0,2",0,0,0,0,44,"43,25",123,"-0,5","-0,75",76,"23,94","3,27","4,1","118,5",19
77,2,"68,39151001","0,1","-3,5","-1,5",90,"0,8","45,25",45,4,"-3,75","-1,25",92,"22,78","2,56","4,87","118,8",21
78,1,"58,49965668","0,16",0,0,0,0,"42,5","42,5",90,"1,5","-0,25",91,"24,08","3,69","4,04","118,4",20
79,2,"63,10198593","0,03","-4,5","-1,5",80,"0,4","43,5",43,26,"-4,25",-2,78,"25,97","3,58","4,16","118,8",14
80,1,"82,42299652","0,1","-2,75",-1,65,"0,6",46,"44,75",1,"-2,5",-1,67,"23,77","3,66","4,23","118,5",19
81,2,"67,27172852","0,1",2,"-0,5",75,"0,5","44,75","44,25",166,"2,5","-0,75",76,"23,11","3,55","4,58","118,5",21
82,1,"70,55441284","0,03","-5,5","-0,5",80,"0,4",40,"39,75",90,"-5,25","-0,75",78,"25,37","2,83","4,7","118,5","19,5"
83,2,"72,80219269","0,2",1,0,0,"0,8","42,75","42,25",79,"1,25","-0,25",167,"23,16","2,65","4,66","118,5",23
84,2,"73,7768631","0,4",0,0,0,0,"47,5","46,75",30,"-1,5","-1,75",124,"22,63","2,63","4,8","118,5",20
85,2,"73,0978775","0,4","1,5","-0,75",105,"0,9","44,5",44,75,"1,5","-0,75",106,"23,16","2,82","5,3","118,8","21,5"
86,1,"66,51608276","0,2","-2,5",-1,95,"0,35","44,25","43,25",179,"-2,5","-1,5",94,"24,87","3,54","3,99","118,5","16,5"
87,2,"62,78165817","0,16","1,75",0,0,"0,9","42,5","41,75",92,"2,5","-0,25",35,"23,1","2,64","4,41","118,8","23,5"
88,1,"80,72553253","0,1","-2,5",-1,25,"0,3","45,25","44,25",126,"-2,5",-1,24,"23,11","3,06","5,03","118,5",21
89,2,"79,84941864","0,1","4,5","-0,5",85,"0,35","45,5","44,75",92,"4,75","-0,5",85,"22,02","3,41","4,05","118,5","24,5"
90,2,"64,16152954","0,16","4,25",-1,15,1,47,"45,25",96,"4,5",-1,13,"20,54","2,23","4,92","118,8",29
91,2,"77,45105743","0,1","-1,25","-1,5",95,"0,5","45,25",45,154,-1,"-2,25",90,"23,15","3,24","4,18",119,20
92,1,"67,06912994","0,03",0,0,0,0,"43,5","43,5",180,0,0,0,"24,37","3,63","4,18","118,5","18,5"
93,2,"77,55236053","0,5",1,0,0,"0,7","45,75",45,16,"1,5","-0,5",94,"21,81","2,54","5,05",119,25
94,1,"74,19849396","0,1","-4,5",-1,105,"0,2","44,25","43,25",9,"-4,75","-0,75",104,"23,86","3,21","4,12","118,5","19,5"
95,2,"66,217659","0,1",-1,"-0,5",60,"0,5","41,25",41,108,"-1,25","-0,5",65,"23,45","2,22","5,04","118,5","23,5"
96,2,"67,46885681","0,03",-6,"-1,5",160,"0,3","43,75",43,104,"-4,75","-1,5",158,"23,94","3,34","3,86","118,8","19,5"
97,1,"81,96577454","0,2",-1,-1,75,"0,5","43,5","42,5",10,-1,-1,76,"24,41","3,1","4,52","118,5","18,5"
98,2,"79,47159576","0,3","1,5","-0,75",60,"0,5","44,75",44,178,"1,75",-1,59,"22,91","2,87","5,3","118,5","22,5"
99,1,"42,84736633","0,1","4,5","-0,5",30,"0,6",46,"44,25",107,"4,75",-1,28,"21,01","2,97","4,03","118,8",28
100,2,"70,28337097","0,05",-3,0,0,"0,4","45,75","44,5",85,-3,"-0,75",175,"22,72","3,22","3,87","118,5",22
101,2,"79,35934448","0,2",1,-2,110,"0,4","47,5","46,75",142,"1,25",-2,110,"23,03","3,23","4,64","118,5",18
102,2,"69,64818573","0,1","-3,25","-0,5",100,"0,4",43,"42,25",80,"-3,25","-0,5",101,"23,26","2,79","4,95",119,"23,5"
103,1,"72,51197815","0,05",6,0,0,"0,6",44,"43,75",97,6,"-0,5",86,"21,43","2,73","4,64","118,5",30
104,2,"64,7802887","0,1",-1,-1,95,"0,16","43,75",43,5,-1,-1,95,"22,65","2,67","4,45","118,5",23
105,1,"65,73032379","0,4",0,0,0,0,"42,75","41,25",98,0,0,0,"24,78","3,81","4,77","118,8",20
106,2,"81,59069061","0,16","-2,25",-1,140,"0,4","44,75","44,25",75,"-2,25",-1,139,"23,52","3,24","4,44","118,5","20,5"
107,1,"81,95756531","0,05",-3,-4,75,"0,2","46,25",43,174,-3,"-4,25",81,"22,46","2,71","4,57","119,2","24,5"
108,1,"66,12731171","0,05","-4,5",0,0,"0,3","42,75","42,5",33,"-4,25","-1,25",80,"23,88","2,75","5,19","118,4","20,5"
109,2,"64,28473663","0,1","-1,5",-3,70,"0,4",46,"43,75",156,"-1,5","-3,75",71,"24,22","3,32","4,63","119,2","17,5"
110,2,"69,81245422","0,1",-1,"-0,75",135,"0,3",46,"45,5",84,"-0,75","-0,75",136,"22,07","2,38","5,59","118,8",23
111,2,"60,3449707","0,2",2,-1,90,"0,8","40,75",40,2,"2,25",-1,87,"24,29","3,37","3,95","118,5",22
112,1,"76,48186493","0,03",-5,-1,78,"0,6","44,5","43,5",168,"-4,75","-2,25",78,"23,75","3,19","4,85","118,5",20
113,2,"84,2381897","0,2",0,0,0,0,"46,5","44,5",169,"3,25","-2,5",72,"21,6","2,61","5,18","118,5",25
114,2,"52,96646118","0,03","8,5","-0,75",75,"0,6","44,75","44,25",158,"9,75","-1,25",75,"19,79","2,85","4,13","118,8",35
115,1,"57,39630508","0,2","2,5",-2,170,"0,7","36,75","34,75",78,3,"-2,25",171,"25,22","3,55","4,35","119,2",25
116,1,"79,4907608","0,05",-3,-1,65,"0,3",46,45,170,"-2,75",-1,63,"24,16","3,71","4,79","119,2",18
117,2,"76,14510345","0,1",4,-1,80,"0,7","43,25","42,25",142,"4,25","-1,25",79,"23,16","2,67","5,19","118,8","22,5"
118,2,"62,85557938","0,05","-6,5","-1,5",90,"0,5",45,"44,25",165,"-6,5","-1,75",89,"23,75","3,22","4,34","118,5",19
119,2,"74,11909485","0,2","1,5",-1,55,"0,4",45,"43,75",177,"1,75","-0,75",61,"23,42","3,11","4,97","118,6",20
120,2,"75,20054626","0,1","-1,5",-1,90,"0,3","43,5","43,25",160,"-1,5",-1,92,"23,58","3,48","4,69","118,8",21
121,2,"71,38671875","0,1","1,75","-1,5",70,"0,3","43,75",43,95,2,"-2,25",70,"23,05","2,7","4,28","118,5",22
